Date,Min,Max,90% percentile,10% percentile,75% percentile,25% percentile,Median,Average,
1-Jan,0,11.933,1.0732,0,0.4235,0,0.136,0.753444444,0.536
2-Jan,0,12.984,3.6254,0,0.5535,0,0.138,1.159698413,0.54
3-Jan,0,19.3,3.2776,0,0.647,0,0.148,1.393904762,0.618
4-Jan,0,37.84,1.453,0,0.502,0,0.13,1.252984127,0.511
5-Jan,0,43.821,2.1364,0,0.5445,0,0.112,1.831619048,0.766
6-Jan,0,17.933,1.919,0,0.44,0,0.065,1.233555556,0.432
7-Jan,0,31.974,3.4312,0,0.52375,0,0.16,1.41121875,0.336
8-Jan,0,16.492,2.4807,0,0.5865,0,0.0995,1.1935625,0.432
9-Jan,0,12.504,3.9513,0,0.8475,0,0.128,1.203734375,0.375
10-Jan,0,10.751,2.5099,0,0.50475,0,0.1315,0.925984375,0.352
11-Jan,0,6.09,1.5117,0,0.51125,0,0.134,0.609625,0.306
12-Jan,0,38.218,2.3599,0,0.71225,0,0.1675,1.400578125,0.286
13-Jan,0,21.339,1.9296,0,0.45,0,0.1905,1.187296875,0.256
14-Jan,0,12.857,3.109,0,0.4575,0,0.1495,1.043578125,0.248
15-Jan,0,10.376,4.3094,0,0.851,0,0.1905,1.19375,0.249
16-Jan,0,10.475,3.5096,0,0.77475,0,0.204,1.02478125,0.256
17-Jan,0,16.048,5.3777,0,0.69975,0,0.206,1.45971875,0.26
18-Jan,0,13.038,4.2317,0,1.09375,0.006,0.2105,1.316125,0.232
19-Jan,0,23.368,3.9648,0,0.763,0.01175,0.1975,1.520484375,0.233
20-Jan,0,26.689,6.8896,0,0.77,0.0045,0.21,1.817015625,0.227
21-Jan,0,39.223,4.7228,0,1.071,0,0.17,2.01453125,0.266
22-Jan,0,28.509,7.1203,0,1.354,0,0.296,2.19125,0.237
23-Jan,0,48.171,4.872,0,1.266,0,0.3525,2.2805625,0.227
24-Jan,0,25.701,6.7592,0,0.982,0,0.252,1.998365079,0.236
25-Jan,0,31.238,5.4744,0,0.978,0.0165,0.292,2.060492063,2.286
26-Jan,0,16.934,6.1436,0,2.747,0.0245,0.298,2.01752381,9.343
27-Jan,0,18.729,7.9608,0,2.2975,0.056,0.338,2.258936508,4.949
28-Jan,0,35.582,9.2748,0,2.7755,0.0765,0.432,2.621285714,0.432
29-Jan,0,20.03,5.4742,0,1.971,0.0335,0.334,1.837587302,0.275
30-Jan,0,25.038,6.158,0,1.377,0.0165,0.352,1.867904762,0.26
31-Jan,0,10.099,3.253,0,1.2175,0.061,0.368,1.258126984,0.227
1-Feb,0,11.247,3.4128,0,1.15,0.123,0.373,1.355415385,0.331
2-Feb,0,7.19,2.8232,0,1.069,0.123,0.397,1.044353846,0.422
3-Feb,0,10.618,2.6398,0,0.868,0.104,0.319,1.022523077,0.38
4-Feb,0,13.085,2.0542,0,1.137,0.094,0.222,1.039384615,0.435
5-Feb,0,30.918,3.136,0,1.012,0.066,0.259,1.677461538,0.391
6-Feb,0,59.186,5.4684,0,1.488,0.042,0.246,2.642953846,0.308
7-Feb,0,20.397,5.0782,0,1.415,0.05,0.264,1.912076923,0.285
8-Feb,0,19.168,4.5494,0,1.069,0.037,0.229,1.424692308,0.656
9-Feb,0,48.171,4.296,0,0.914,0.068,0.286,1.688307692,1.041
10-Feb,0,35.654,4.0256,0,0.916,0.083,0.32,1.682138462,0.484
11-Feb,0,14.784,6.9828,0,1.5,0.069,0.365,1.763384615,1.5
12-Feb,0,16.838,6.4104,0,1.402,0.13,0.282,1.923415385,1.444
13-Feb,0,20.771,5.0624,0,1.93,0.087,0.309,1.950661538,1.848
14-Feb,0,13.085,5.6034,0,2.345,0.071,0.504,1.934476923,0.877
15-Feb,0,33.193,9.1596,0,2.507,0.125,0.482,2.749676923,14.584
16-Feb,0,30.962,5.8222,0,1.577,0.056,0.508,2.317646154,30.962
17-Feb,0,18.534,7.013,0,1.665,0.06,0.419,2.054153846,4.033
18-Feb,0,24.407,6.2614,0,1.703,0.086,0.341,1.940092308,1.462
19-Feb,0,16.176,6.9744,0,1.513,0.065,0.427,2.148723077,0.894
20-Feb,0,29.749,8.7998,0,1.482,0.078,0.41,2.493446154,0.667
21-Feb,0,17.196,5.454,0,1.339,0.085,0.368,1.568307692,0.561
22-Feb,0,32.549,5.6736,0,1.624,0.049,0.289,1.942415385,0.494
23-Feb,0,11.858,3.8392,0,1.278,0.031,0.244,1.352569231,0.474
24-Feb,0,13.085,2.8842,0,1.1195,0.02475,0.2365,1.024671875,0.401
25-Feb,0,20.312,6.2898,0,1.464,0.057,0.316,1.933861538,0.392
26-Feb,0,41.838,6.4646,0,3.104,0.047,0.368,2.464830769,0.391
27-Feb,0,19.714,6.4646,0,1.534,0.051,0.368,2.045476923,0.36
28-Feb,0,12.151,2.767,0,1.069,0.065,0.326,1.353876923,0.359
29-Feb,0,38.026,7.93,0,1.943,0.00825,0.678,3.89225,NO DATA
1-Mar,0,48.031,2.2866,0,0.74,0.007,0.236,1.620507692,0.353
2-Mar,0,38.197,1.775,0,0.80475,0.003,0.34,1.641359375,0.364
3-Mar,0,29.837,3.5007,0,1.06525,0,0.275,1.590109375,0.37
4-Mar,0,45.023,4.9713,0,1.095,0,0.378,2.1420625,0.345
5-Mar,0,46.692,4.1804,0,1.10575,0.03725,0.372,2.3719375,0.328
6-Mar,0,29.169,4.2538,0,1.09675,0.08675,0.383,1.929796875,0.357
7-Mar,0,16.837,5.3839,0,1.15575,0.062,0.3855,1.7656875,0.306
8-Mar,0,30.598,9.0034,0,2.3025,0.0705,0.3645,2.511765625,0.352
9-Mar,0,14.492,8.523,0,2.11625,0.07175,0.3105,2.06834375,0.382
10-Mar,0,12.339,6.8433,0,1.63025,0.042,0.2685,1.767140625,0.392
11-Mar,0,10.377,4.2481,0,1.2735,0.059,0.334,1.46278125,0.424
12-Mar,0,13.085,5.6598,0,1.479,0.0465,0.2825,1.77184375,1.665
13-Mar,0,13.085,2.8582,0,1.66625,0.04275,0.4935,1.413484375,1.261
14-Mar,0,11.84,5.8501,0,1.2975,0.042,0.3265,1.573265625,0.624
15-Mar,0,12.901,3.9993,0,1.3385,0.045,0.4025,1.53621875,2.64
16-Mar,0,10.964,3.7056,0,1.063,0.069,0.378,1.393873016,0.915
17-Mar,0,13.085,4.0506,0,1.0545,0.0565,0.316,1.32947619,1.118
18-Mar,0,30.707,7.2256,0,0.8645,0.051,0.314,1.871936508,0.845
19-Mar,0,36.803,6.9496,0,0.917,0.0655,0.322,2.139063492,0.614
20-Mar,0,33.753,5.7444,0,0.9175,0.086,0.379,1.993619048,0.557
21-Mar,0,39.984,4.504,0,1.288,0.1215,0.29,2.225587302,0.491
22-Mar,0,44.034,9.1126,0,1.4165,0.148,0.368,3.042603175,0.416
23-Mar,0,24.784,7.4868,0,1.6175,0.131,0.415,2.226333333,0.415
24-Mar,0,24.341,5.255,0,1.702,0.146,0.534,2.163746032,0.381
25-Mar,0,10.752,3.93,0.005,1.0695,0.158,0.453,1.327174603,0.462
26-Mar,0,24.006,2.1262,0,0.851,0.13,0.31,1.421698413,0.551
27-Mar,0,48.171,3.7896,0,0.8605,0.1035,0.313,2.017761905,0.449
28-Mar,0,47.957,5.483,0,1.0535,0.066,0.293,2.394952381,0.397
29-Mar,0,32.412,6.9142,0,1.516,0.094,0.324,2.089809524,0.373
30-Mar,0,21.242,5.1205,0,1.61325,0.10475,0.302,1.806403226,0.373
31-Mar,0,37.077,7.3619,0,1.30075,0.10425,0.3085,2.159806452,0.368
1-Apr,0,12.647,5.1928,0,1.03325,0.0905,0.2415,1.415435484,0.395
2-Apr,0,12.204,3.8756,0,1.069,0.1105,0.25,1.261645161,0.405
3-Apr,0,30.409,3.0586,0,1.04975,0.1075,0.2745,1.479741935,0.384
4-Apr,0,12.413,3.5663,0,1.069,0.084,0.235,1.298258065,0.417
5-Apr,0,12.662,3.5841,0,1.21625,0.06975,0.245,1.342064516,0.997
6-Apr,0,32.117,5.7196,0,1.016,0.05725,0.2225,1.753709677,2.275
7-Apr,0,48.117,2.8533,0,0.7525,0.04225,0.1645,1.594048387,1.996
8-Apr,0,30.763,2.5797,0,0.95425,0.0325,0.1815,1.529354839,10.689
9-Apr,0,17.834,4.7197,0,0.71425,0.0245,0.1995,1.55466129,4.907
10-Apr,0,11.898,4.9032,0,0.59275,0.03425,0.1735,1.497290323,2.596
11-Apr,0,10.884,4.5118,0,0.65025,0.06025,0.187,1.341677419,0.982
12-Apr,0,12.97,2.1172,0,0.88175,0.04325,0.2185,1.021,0.993
13-Apr,0,13.085,3.0128,0,0.8275,0.075,0.221,1.162370968,0.769
14-Apr,0,13.085,3.7274,0,0.677,0.0515,0.213,1.175111111,0.863
15-Apr,0,13.085,3.555,0,0.5485,0.0375,0.202,1.135571429,0.761
16-Apr,0,12.97,2.183,0,0.62,0.0435,0.184,1.225031746,0.636
17-Apr,0,43.605,1.57,0,0.4705,0.036,0.192,1.546888889,0.505
18-Apr,0,13.085,3.614,0,0.4415,0.026,0.196,1.432714286,0.462
