Date,Time,Mockes Dam Level,MockesDamLevelpercent,RecommendedMaselspoortSupply,Maselspoort24hSupply,DATETIME,MockesFSC
00:00.0,1899-12-31 16:00:00.000,0,1,110,40,00:00.0,100
00:00.0,1899-12-31 08:00:00.000,0,1,110,40,00:00.0,100
00:00.0,1899-12-31 16:00:00.000,0,1,110,31,00:00.0,100
00:00.0,1899-12-31 08:00:00.000,0,1,110,34,00:00.0,100
00:00.0,1899-12-31 16:00:00.000,0,1,110,44,00:00.0,100
00:00.0,1899-12-31 16:00:00.000,0,1,110,44,00:00.0,100
00:00.0,1899-12-31 08:00:00.000,0,1,110,42,00:00.0,100
00:00.0,1899-12-31 08:00:00.000,0,1,110,23,00:00.0,100
00:00.0,1899-12-31 16:00:00.000,0,1,110,37,00:00.0,100
00:00.0,1899-12-31 16:00:00.000,0,1,110,44,00:00.0,100
00:00.0,1899-12-31 16:00:00.000,0,1,110,44,00:00.0,100
00:00.0,1899-12-31 08:00:00.000,0,1,110,44,00:00.0,100
00:00.0,1899-12-31 16:00:00.000,0,1,110,44,00:00.0,100
00:00.0,1899-12-31 08:00:00.000,0,1,110,43,00:00.0,100
00:00.0,1899-12-31 16:00:00.000,0,1,110,43,00:00.0,100
00:00.0,1899-12-31 08:00:00.000,0,1,110,44,00:00.0,100
00:00.0,1899-12-31 16:00:00.000,0,1,110,0,00:00.0,100
00:00.0,1899-12-31 08:00:00.000,0,1,110,2,00:00.0,100
00:00.0,1899-12-31 08:00:00.000,0,1,110,28,00:00.0,100
00:00.0,1899-12-31 16:00:00.000,0,1,110,42,00:00.0,100
00:00.0,1899-12-31 08:00:00.000,0,1,110,45,00:00.0,100
00:00.0,1899-12-31 16:00:00.000,0,1,110,45,00:00.0,100
00:00.0,1899-12-31 08:00:00.000,0,1,110,43,00:00.0,100
00:00.0,1899-12-31 16:00:00.000,0,1,110,43,00:00.0,100
00:00.0,1899-12-31 08:00:00.000,0,1,110,43,00:00.0,100
00:00.0,1899-12-31 16:00:00.000,0,1,110,44,00:00.0,100
00:00.0,1899-12-31 08:00:00.000,0,1,110,43,00:00.0,100
00:00.0,1899-12-31 16:00:00.000,0,1,110,43,00:00.0,100
00:00.0,1899-12-31 08:00:00.000,0,1,110,41,00:00.0,100
00:00.0,1899-12-31 16:00:00.000,0,1,110,35,00:00.0,100
00:00.0,1899-12-31 08:00:00.000,0,1,110,37,00:00.0,100
00:00.0,1899-12-31 16:00:00.000,0,1,110,43,00:00.0,100
00:00.0,1899-12-31 08:00:00.000,0,1,110,14,00:00.0,100
00:00.0,1899-12-31 16:00:00.000,0,1,110,14,00:00.0,100
00:00.0,1899-12-31 08:00:00.000,0,1,110,42,00:00.0,100
00:00.0,1899-12-31 16:00:00.000,0,1,110,42,00:00.0,100
00:00.0,1899-12-31 08:00:00.000,0,1,110,42,00:00.0,100
00:00.0,1899-12-31 16:00:00.000,0,1,110,42,00:00.0,100
00:00.0,1899-12-31 08:00:00.000,0,1,110,42,00:00.0,100
00:00.0,1899-12-31 16:00:00.000,0,1,110,42,00:00.0,100
00:00.0,1899-12-31 08:00:00.000,0,1,110,0,00:00.0,100
00:00.0,1899-12-31 16:00:00.000,0,1,110,0,00:00.0,100
00:00.0,1899-12-31 08:00:00.000,0,1,110,,00:00.0,100
00:00.0,1899-12-31 16:00:00.000,0,1,110,,00:00.0,100
00:00.0,1899-12-31 08:00:00.000,0,1,110,0,00:00.0,100
00:00.0,1899-12-31 16:00:00.000,0,1,110,0,00:00.0,100
00:00.0,1899-12-31 08:00:00.000,0,1,110,0,00:00.0,100
00:00.0,1899-12-31 16:00:00.000,0,1,110,4,00:00.0,100
00:00.0,1899-12-31 08:00:00.000,0,1,110,4,00:00.0,100
00:00.0,1899-12-31 16:00:00.000,0,1,110,3,00:00.0,100
00:00.0,1899-12-31 16:00:00.000,0,1,110,42,00:00.0,100
00:00.0,1899-12-31 08:00:00.000,0,1,110,41,00:00.0,100
00:00.0,1899-12-31 16:00:00.000,0,1,110,42,00:00.0,100
00:00.0,1899-12-31 08:00:00.000,0,1,110,32,00:00.0,100
00:00.0,1899-12-31 16:00:00.000,0,1,110,18,00:00.0,100
00:00.0,1899-12-31 08:00:00.000,0,1,110,0,00:00.0,100
