Date,Time,Mockes Dam Level,MockesDamLevelpercent,RecommendedMaselspoortSupply,Maselspoort24hSupply,DATETIME,MockesFSC
2021-01-13 00:00:00.000,1899-12-31 16:00:00.000,0,1,110,40,2021-01-13 16:00:00.000,100
2021-01-14 00:00:00.000,1899-12-31 08:00:00.000,0,1,110,40,2021-01-14 08:00:00.000,100
2021-01-14 00:00:00.000,1899-12-31 16:00:00.000,0,1,110,31,2021-01-14 16:00:00.000,100
2021-01-15 00:00:00.000,1899-12-31 08:00:00.000,0,1,110,34,2021-01-15 08:00:00.000,100
2021-01-15 00:00:00.000,1899-12-31 16:00:00.000,0,1,110,44,2021-01-15 16:00:00.000,100
2021-01-18 00:00:00.000,1899-12-31 16:00:00.000,0,1,110,44,2021-01-18 16:00:00.000,100
2021-01-19 00:00:00.000,1899-12-31 08:00:00.000,0,1,110,42,2021-01-19 08:00:00.000,100
2021-01-22 00:00:00.000,1899-12-31 08:00:00.000,0,1,110,23,2021-01-22 08:00:00.000,100
2021-01-22 00:00:00.000,1899-12-31 16:00:00.000,0,1,110,37,2021-01-22 16:00:00.000,100
2021-01-26 00:00:00.000,1899-12-31 16:00:00.000,0,1,110,44,2021-01-26 16:00:00.000,100
2021-01-27 00:00:00.000,1899-12-31 16:00:00.000,0,1,110,44,2021-01-27 16:00:00.000,100
2021-01-28 00:00:00.000,1899-12-31 08:00:00.000,0,1,110,44,2021-01-28 08:00:00.000,100
2021-01-28 00:00:00.000,1899-12-31 16:00:00.000,0,1,110,44,2021-01-28 16:00:00.000,100
2021-01-29 00:00:00.000,1899-12-31 08:00:00.000,0,1,110,43,2021-01-29 08:00:00.000,100
2021-01-29 00:00:00.000,1899-12-31 16:00:00.000,0,1,110,43,2021-01-29 16:00:00.000,100
2021-02-01 00:00:00.000,1899-12-31 08:00:00.000,0,1,110,44,2021-02-01 08:00:00.000,100
2021-02-01 00:00:00.000,1899-12-31 16:00:00.000,0,1,110,0,2021-02-01 16:00:00.000,100
2021-02-02 00:00:00.000,1899-12-31 08:00:00.000,0,1,110,2,2021-02-02 08:00:00.000,100
2021-02-03 00:00:00.000,1899-12-31 08:00:00.000,0,1,110,28,2021-02-03 08:00:00.000,100
2021-02-03 00:00:00.000,1899-12-31 16:00:00.000,0,1,110,42,2021-02-03 16:00:00.000,100
2021-02-04 00:00:00.000,1899-12-31 08:00:00.000,0,1,110,45,2021-02-04 08:00:00.000,100
2021-02-04 00:00:00.000,1899-12-31 16:00:00.000,0,1,110,45,2021-02-04 16:00:00.000,100
2021-02-05 00:00:00.000,1899-12-31 08:00:00.000,0,1,110,43,2021-02-05 08:00:00.000,100
2021-02-05 00:00:00.000,1899-12-31 16:00:00.000,0,1,110,43,2021-02-05 16:00:00.000,100
2021-02-08 00:00:00.000,1899-12-31 08:00:00.000,0,1,110,43,2021-02-08 08:00:00.000,100
2021-02-08 00:00:00.000,1899-12-31 16:00:00.000,0,1,110,44,2021-02-08 16:00:00.000,100
2021-02-09 00:00:00.000,1899-12-31 08:00:00.000,0,1,110,43,2021-02-09 08:00:00.000,100
2021-02-09 00:00:00.000,1899-12-31 16:00:00.000,0,1,110,43,2021-02-09 16:00:00.000,100
2021-02-10 00:00:00.000,1899-12-31 08:00:00.000,0,1,110,41,2021-02-10 08:00:00.000,100
2021-02-10 00:00:00.000,1899-12-31 16:00:00.000,0,1,110,35,2021-02-10 16:00:00.000,100
2021-02-11 00:00:00.000,1899-12-31 08:00:00.000,0,1,110,37,2021-02-11 08:00:00.000,100
2021-02-11 00:00:00.000,1899-12-31 16:00:00.000,0,1,110,43,2021-02-11 16:00:00.000,100
2021-02-12 00:00:00.000,1899-12-31 08:00:00.000,0,1,110,14,2021-02-12 08:00:00.000,100
2021-02-12 00:00:00.000,1899-12-31 16:00:00.000,0,1,110,14,2021-02-12 16:00:00.000,100
2021-02-15 00:00:00.000,1899-12-31 08:00:00.000,0,1,110,42,2021-02-15 08:00:00.000,100
2021-02-15 00:00:00.000,1899-12-31 16:00:00.000,0,1,110,42,2021-02-15 16:00:00.000,100
2021-02-16 00:00:00.000,1899-12-31 08:00:00.000,0,1,110,42,2021-02-16 08:00:00.000,100
2021-02-16 00:00:00.000,1899-12-31 16:00:00.000,0,1,110,42,2021-02-16 16:00:00.000,100
2021-02-17 00:00:00.000,1899-12-31 08:00:00.000,0,1,110,42,2021-02-17 08:00:00.000,100
2021-02-17 00:00:00.000,1899-12-31 16:00:00.000,0,1,110,42,2021-02-17 16:00:00.000,100
2021-02-18 00:00:00.000,1899-12-31 08:00:00.000,0,1,110,0,2021-02-18 08:00:00.000,100
2021-02-18 00:00:00.000,1899-12-31 16:00:00.000,0,1,110,0,2021-02-18 16:00:00.000,100
2021-02-19 00:00:00.000,1899-12-31 08:00:00.000,0,1,110,,2021-02-19 08:00:00.000,100
2021-02-19 00:00:00.000,1899-12-31 16:00:00.000,0,1,110,,2021-02-19 16:00:00.000,100
2021-03-03 00:00:00.000,1899-12-31 08:00:00.000,0,1,110,0,2021-03-03 08:00:00.000,100
2021-03-03 00:00:00.000,1899-12-31 16:00:00.000,0,1,110,0,2021-03-03 16:00:00.000,100
2021-03-04 00:00:00.000,1899-12-31 08:00:00.000,0,1,110,0,2021-03-04 08:00:00.000,100
2021-03-04 00:00:00.000,1899-12-31 16:00:00.000,0,1,110,4,2021-03-04 16:00:00.000,100
2021-03-05 00:00:00.000,1899-12-31 08:00:00.000,0,1,110,4,2021-03-05 08:00:00.000,100
2021-03-05 00:00:00.000,1899-12-31 16:00:00.000,0,1,110,3,2021-03-05 16:00:00.000,100
2021-03-08 00:00:00.000,1899-12-31 16:00:00.000,0,1,110,42,2021-03-08 16:00:00.000,100
2021-03-09 00:00:00.000,1899-12-31 08:00:00.000,0,1,110,41,2021-03-09 08:00:00.000,100
2021-03-09 00:00:00.000,1899-12-31 16:00:00.000,0,1,110,42,2021-03-09 16:00:00.000,100
2021-03-10 00:00:00.000,1899-12-31 08:00:00.000,0,1,110,32,2021-03-10 08:00:00.000,100
2021-03-10 00:00:00.000,1899-12-31 16:00:00.000,0,1,110,18,2021-03-10 16:00:00.000,100
2021-03-11 00:00:00.000,1899-12-31 08:00:00.000,0,1,110,0,2021-03-11 08:00:00.000,100
2021-03-11 00:00:00.000,1899-12-31 16:00:00.000,0,1,110,0,2021-03-11 16:00:00.000,100
2021-03-12 00:00:00.000,1899-12-31 08:00:00.000,0,1,110,21,2021-03-12 08:00:00.000,100
2021-03-12 00:00:00.000,1899-12-31 16:00:00.000,0,1,110,35,2021-03-12 16:00:00.000,100
2021-03-15 00:00:00.000,1899-12-31 08:00:00.000,0,1,110,42,2021-03-15 08:00:00.000,100
2021-03-15 00:00:00.000,1899-12-31 16:00:00.000,0,1,110,42,2021-03-15 16:00:00.000,100
2021-03-16 00:00:00.000,1899-12-31 08:00:00.000,0,1,110,43,2021-03-16 08:00:00.000,100
2021-03-16 00:00:00.000,1899-12-31 16:00:00.000,0,1,110,41,2021-03-16 16:00:00.000,100
2021-03-17 00:00:00.000,1899-12-31 08:00:00.000,0,1,110,41,2021-03-17 08:00:00.000,100
